DATE,Value
07-01-2005,93.8379
08-01-2005,93.531
09-01-2005,87.5414
10-01-2005,80.0924
11-01-2005,81.4349
12-01-2005,91.6841
01-01-2006,102.1348
02-01-2006,91.1829
03-01-2006,90.7381
04-01-2006,80.5176
05-01-2006,79.3887
06-01-2006,87.8431
07-01-2006,97.4903
08-01-2006,96.4157
09-01-2006,87.2248
10-01-2006,80.6409
11-01-2006,82.2025
12-01-2006,94.5113
01-01-2007,102.2301
02-01-2007,94.2989
03-01-2007,88.0927
04-01-2007,81.4425
05-01-2007,84.4552
06-01-2007,91.0406
07-01-2007,95.9957
08-01-2007,99.3704
09-01-2007,90.9178
10-01-2007,83.1408
11-01-2007,88.041
12-01-2007,102.4558
01-01-2008,109.1081
02-01-2008,97.1717
03-01-2008,92.8283
04-01-2008,82.915
05-01-2008,82.5465
06-01-2008,90.3955
07-01-2008,96.074
08-01-2008,99.5534
09-01-2008,88.281
10-01-2008,82.686
11-01-2008,82.9319
12-01-2008,93.0381
01-01-2009,102.9955
02-01-2009,95.2075
03-01-2009,93.2556
04-01-2009,85.795
05-01-2009,85.2351
06-01-2009,93.1896
07-01-2009,102.393
08-01-2009,101.6293
09-01-2009,93.3089
10-01-2009,86.9002
11-01-2009,88.5749
12-01-2009,100.8003
01-01-2010,110.1807
02-01-2010,103.8413
03-01-2010,94.5532
04-01-2010,85.062
05-01-2010,85.4653
06-01-2010,91.0761
07-01-2010,102.22
08-01-2010,104.4682
09-01-2010,92.9135
10-01-2010,86.5047
11-01-2010,88.5735
12-01-2010,103.5428
01-01-2011,113.7226
02-01-2011,106.159
03-01-2011,95.4029
04-01-2011,86.7233
05-01-2011,89.0302
06-01-2011,95.5045
07-01-2011,101.7948
08-01-2011,100.2025
09-01-2011,94.024
10-01-2011,87.5262
11-01-2011,89.6144
12-01-2011,105.7263
01-01-2012,111.1614
02-01-2012,101.7795
03-01-2012,98.9565
04-01-2012,86.4776
05-01-2012,87.2234
06-01-2012,99.5076
07-01-2012,108.3501
08-01-2012,109.4862
09-01-2012,99.1155
10-01-2012,89.7567
11-01-2012,90.4587
12-01-2012,108.2257
01-01-2013,104.4724
02-01-2013,101.5196
03-01-2013,98.4017
04-01-2013,87.5093
05-01-2013,90.0222
06-01-2013,100.5244
07-01-2013,110.9503
08-01-2013,111.5192
09-01-2013,95.7632
10-01-2013,90.3738
11-01-2013,92.3566
12-01-2013,103.066
01-01-2014,112.0576
02-01-2014,111.8399
03-01-2014,99.1925
04-01-2014,90.8177
05-01-2014,92.0587
06-01-2014,100.9676
07-01-2014,107.5686
08-01-2014,114.1036
09-01-2014,101.5316
10-01-2014,93.0068
11-01-2014,93.9126
12-01-2014,106.7528
01-01-2015,114.8331
02-01-2015,108.2353
03-01-2015,100.4386
04-01-2015,90.9944
05-01-2015,91.2348
06-01-2015,103.9581
07-01-2015,110.7631
08-01-2015,107.5665
09-01-2015,97.7183
10-01-2015,90.9979
11-01-2015,93.8057
12-01-2015,109.4221
01-01-2016,116.8316
02-01-2016,104.4202
03-01-2016,97.8529
04-01-2016,88.1973
05-01-2016,87.5366
06-01-2016,97.2387
07-01-2016,103.9086
08-01-2016,105.7486
09-01-2016,94.8823
10-01-2016,89.2977
11-01-2016,89.3585
12-01-2016,110.6844
01-01-2017,119.0166
02-01-2017,110.533
03-01-2017,98.2672
04-01-2017,86.3
05-01-2017,90.8364
06-01-2017,104.3538
07-01-2017,112.8066
08-01-2017,112.9014
09-01-2017,100.1209
10-01-2017,88.9251
11-01-2017,92.775
12-01-2017,114.3266
01-01-2018,119.488
02-01-2018,107.3753
03-01-2018,99.1028
04-01-2018,89.3583
05-01-2018,90.0698
06-01-2018,102.8204
07-01-2018,114.7068
08-01-2018,113.5958
09-01-2018,99.4712
10-01-2018,90.3566
11-01-2018,93.8095
12-01-2018,107.3312
01-01-2019,111.9646
02-01-2019,103.3679
03-01-2019,93.5772
04-01-2019,87.5566
05-01-2019,92.7603
06-01-2019,101.14
07-01-2019,113.0357
08-01-2019,109.8601
09-01-2019,96.7431
10-01-2019,90.3805
11-01-2019,94.3417
12-01-2019,105.2722
01-01-2020,115.501
02-01-2020,106.734
03-01-2020,102.9948
04-01-2020,91.0092
05-01-2020,90.9634
06-01-2020,100.6957
07-01-2020,110.148
08-01-2020,108.1756
09-01-2020,99.2809
10-01-2020,91.7871
11-01-2020,97.2853
12-01-2020,113.4732
01-01-2021,124.2549
02-01-2021,112.8811
03-01-2021,104.7631
04-01-2021,90.2867
05-01-2021,92.134
06-01-2021,101.878
07-01-2021,108.5497
08-01-2021,108.194
09-01-2021,100.4172
10-01-2021,92.3837
11-01-2021,99.7033
12-01-2021,109.3477
01-01-2022,120.2696
02-01-2022,116.3788
03-01-2022,104.4706
04-01-2022,89.7461
05-01-2022,91.093
06-01-2022,102.6495
07-01-2022,111.6354
08-01-2022,110.5925
09-01-2022,101.9204
10-01-2022,91.5959
11-01-2022,93.0628
12-01-2022,103.2203
01-01-2023,117.0837
02-01-2023,106.6688
03-01-2023,95.3548
04-01-2023,89.3254
05-01-2023,90.7369
06-01-2023,104.0375
07-01-2023,114.5397
08-01-2023,115.5159
09-01-2023,102.7637
10-01-2023,91.4867
11-01-2023,92.89
12-01-2023,112.7694
01-01-2024,114.8505
02-01-2024,99.4901
03-01-2024,101.0396
04-01-2024,88.353
05-01-2024,92.0805
06-01-2024,102.1532
07-01-2024,112.1538
08-01-2024,108.9312
09-01-2024,98.6154
10-01-2024,93.6137
11-01-2024,97.3359
12-01-2024,114.7212
01-01-2025,129.4048
